gutenberg_id,text
1514,"Ready. Name what part I am for, and proceed."
1514,
1514,QUINCE
1514,"You, Nick Bottom, are set down for Pyramus."
1514,
1514,BOTTOM
1514,"What is Pyramus? a lover, or a tyrant?"
1514,
1514,QUINCE
1514,"A lover, that kills himself most gallantly for love."
1514,
1514,BOTTOM
1514,That will ask some tears in the true performing of it.
1514,"If I do it, let the audience look to their eyes; I will move"
1514,storms; I will condole in some measure. To the rest:--yet my
1514,"chief humour is for a tyrant: I could play Ercles rarely, or a"
1514,"part to tear a cat in, to make all split."
1514,
1514,The raging rocks
1514,And shivering shocks
1514,Shall break the locks
1514,    Of prison gates:
1514,
1514,And Phibbus' car
1514,"Shall shine from far,"
1514,And make and mar
1514,    The foolish Fates.
1514,
1514,This was lofty.--Now name the rest of the players.--This is
1514,"Ercles' vein, a tyrant's vein;--a lover is more condoling."
1514,
1514,QUINCE
1514,"Francis Flute, the bellows-mender."
1514,
1514,FLUTE
1514,"Here, Peter Quince."
1514,
1514,QUINCE
1514,"Flute, you must take Thisby on you."
1514,
1514,FLUTE
1514,What is Thisby? a wandering knight?
1514,
1514,QUINCE
1514,It is the lady that Pyramus must love.
1514,
1514,FLUTE
1514,"Nay, faith, let not me play a woman; I have a beard coming."
1514,
1514,QUINCE
1514,"That's all one; you shall play it in a mask, and you may speak as"
1514,small as you will.
1514,
1514,BOTTOM
1514,"An I may hide my face, let me play Thisby too:"
1514,"I'll speak in a monstrous little voice;--'Thisne, Thisne!'--"
1514,"'Ah, Pyramus, my lover dear; thy Thisby dear! and lady dear!'"
1514,
1514,QUINCE
1514,"No, no, you must play Pyramus; and, Flute, you Thisby."
1514,
1514,BOTTOM
1514,"Well, proceed."
1514,
1514,QUINCE
1514,"Robin Starveling, the tailor."
1514,
1514,STARVELING
1514,"Here, Peter Quince."
1514,
1514,QUINCE
1514,"Robin Starveling, you must play Thisby's mother.--"
1514,"Tom Snout, the tinker."
1514,
1514,SNOUT
1514,"Here, Peter Quince."
1514,
1514,QUINCE
1514,"You, Pyramus' father; myself, Thisby's father;--Snug,"
1514,"the joiner, you, the lion's part:--and, I hope, here is a play"
1514,fitted.
1514,
1514,SNUG
1514,"Have you the lion's part written? pray you, if it be, give it"
1514,"me, for I am slow of study."
1514,
1514,QUINCE
1514,"You may do it extempore, for it is nothing but roaring."
1514,
